"",".model","DATE","Cash",".mean"
"1","ARIMA(box_cox(Cash, lambda2))",2010-05-01,t(N(24, 48)),67.2270422528332
"2","ARIMA(box_cox(Cash, lambda2))",2010-05-02,t(N(25, 48)),73.2248364839491
"3","ARIMA(box_cox(Cash, lambda2))",2010-05-03,t(N(6.4, 49)),14.9680743689854
"4","ARIMA(box_cox(Cash, lambda2))",2010-05-04,t(N(1.3, 49)),8.18441536985763
"5","ARIMA(box_cox(Cash, lambda2))",2010-05-05,t(N(32, 50)),99.4913431794041
"6","ARIMA(box_cox(Cash, lambda2))",2010-05-06,t(N(30, 50)),90.3125359482473
"7","ARIMA(box_cox(Cash, lambda2))",2010-05-07,t(N(24, 50)),67.1432166343501
"8","ARIMA(box_cox(Cash, lambda2))",2010-05-08,t(N(24, 57)),67.5241105877578
"9","ARIMA(box_cox(Cash, lambda2))",2010-05-09,t(N(25, 57)),73.5213802781023
"10","ARIMA(box_cox(Cash, lambda2))",2010-05-10,t(N(6.4, 57)),15.5033420031793
"11","ARIMA(box_cox(Cash, lambda2))",2010-05-11,t(N(1.3, 57)),9.11434428437026
"12","ARIMA(box_cox(Cash, lambda2))",2010-05-12,t(N(32, 58)),99.7572402119888
"13","ARIMA(box_cox(Cash, lambda2))",2010-05-13,t(N(30, 58)),90.5744955584452
"14","ARIMA(box_cox(Cash, lambda2))",2010-05-14,t(N(24, 58)),67.4210347543379
"15","ARIMA(box_cox(Cash, lambda2))",2010-05-15,t(N(24, 65)),67.8163020328052
"16","ARIMA(box_cox(Cash, lambda2))",2010-05-16,t(N(25, 65)),73.8106080736916
"17","ARIMA(box_cox(Cash, lambda2))",2010-05-17,t(N(6.4, 66)),16.0347275696034
"18","ARIMA(box_cox(Cash, lambda2))",2010-05-18,t(N(1.3, 66)),10.0352488341471
"19","ARIMA(box_cox(Cash, lambda2))",2010-05-19,t(N(32, 66)),100.016302097046
"20","ARIMA(box_cox(Cash, lambda2))",2010-05-20,t(N(30, 66)),90.8333913018383
"21","ARIMA(box_cox(Cash, lambda2))",2010-05-21,t(N(24, 67)),67.6997656522021
"22","ARIMA(box_cox(Cash, lambda2))",2010-05-22,t(N(24, 73)),68.1050703907289
"23","ARIMA(box_cox(Cash, lambda2))",2010-05-23,t(N(25, 73)),74.0946899866131
"24","ARIMA(box_cox(Cash, lambda2))",2010-05-24,t(N(6.4, 74)),16.5633756469755
"25","ARIMA(box_cox(Cash, lambda2))",2010-05-25,t(N(1.3, 74)),10.9497461619442
"26","ARIMA(box_cox(Cash, lambda2))",2010-05-26,t(N(32, 74)),100.270550406529
"27","ARIMA(box_cox(Cash, lambda2))",2010-05-27,t(N(30, 74)),91.0901332275726
"28","ARIMA(box_cox(Cash, lambda2))",2010-05-28,t(N(24, 75)),67.9791474688657
"29","ARIMA(box_cox(Cash, lambda2))",2010-05-29,t(N(24, 81)),68.3914323249684
"30","ARIMA(box_cox(Cash, lambda2))",2010-05-30,t(N(25, 81)),74.3751488112356
"31","ARIMA(box_cox(Cash, lambda2))",2010-05-31,t(N(6.4, 82)),17.0900881727747
